,name,price,rating,category,features,n_features,brand_name,capacity_value,capacity_unit,star_rating,has_star_rating,has_inverter,has_wifi,has_voice_control,has_app_control,smart_connectivity_score,model_year,is_recent_model,appliance_age,ac_split,ac_window,ac_pm25_filter,ac_hepa_filter,ac_auto_clean,ac_hot_and_cold,ac_copper_condenser,ac_Dehumidification,ac_Turbo Mode,ac_Self Diagnosis,ref_single_door,ref_multi_door,ref_chest_freezer,ref_side_door,ref_french_door,ref_double_door,ref_triple_door,ref_frost_free,ref_convertible,ref_door_alarm,ref_door_lock,ref_dispenser,ref_door_display,ref_mini,wm_fully_automatic,wm_semi_automatic,wm_with_dryer,wm_washer_only,wm_dryer_only,wm_front_load,wm_top_load,wm_inbuilt_heater,wm_quick_wash,wm_ss_tub,wm_child_lock,wm_shock_proof,wm_display
10,Haier HSU11V-TMS3BN-INV 1 Ton 3 Star 2025 Inverter Split AC,23990,4.6,AC,"['Split AC', '1 Ton Capacity', 'Hidden Panel Display', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis']",11,Haier,1.0,Ton,3.0,1,1,0,0,0,0,2025,1,1,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Daikin FTKM50UV16VA 1.5 Ton 5 Star Inverter Split AC,39138,4.0,AC,"['Split AC', '1.5 Ton Capacity', 'LED Panel Display', 'Air Swing', 'Dehumidification', 'Inverter', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis']",9,Daikin,1.5,Ton,5.0,1,1,0,0,0,0,,,,1,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Lloyd GLS18I3FWBEW 1.5 Ton 3 Star 2023 Inverter Split AC,25490,4.35,AC,"['Split AC', '1.5 Ton Capacity', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', '3 Star Rating', 'Copper Condenser Coil']",11,Lloyd,1.5,Ton,3.0,1,1,0,0,0,0,2023,0,3,1,0,0,0,0,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Panasonic CS/CU-NU18BKY5WX 1.5 Ton 5 Star 2026 Inverter Split AC,47989,4.7,AC,"['Split AC', '1.5 Ton Capacity', 'Hidden Panel Display', '4-Way Air Swing', 'Auto Restart', 'Wi-Fi Connectivity', 'APP Control', 'Voice Control', 'Dehumidification', 'Inverter', 'Sleep Mode', 'Dust Filter']",12,Panasonic,1.5,Ton,5.0,1,1,1,1,1,3,2026,1,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Blue Star IA318ZXUS 1.5 Ton 3 Star 2026 Inverter Split AC,37489,4.6,AC,"['Split AC', '1.5 Ton Capacity', '4-Way Air Swing', 'Auto Restart', 'Wi-Fi Connectivity', 'APP Control', 'Voice Control', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis']",13,Blue Star,1.5,Ton,3.0,1,1,1,1,1,3,2026,1,0,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,LG AW-Q18WUZA 1.5 Ton 5 Star 2026 Inverter Window AC,41490,4.75,AC,"['Window AC', '1.5 Ton Capacity', 'LED Panel Display', '4-Way Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis', 'Memory Feature']",11,LG,1.5,Ton,5.0,1,1,0,0,0,0,2026,1,0,0,1,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Voltas 185V Vectra Prism 1.5 Ton 5 Star Inverter Split AC,36999,4.75,AC,"['Split AC', '1.5 Ton Capacity', 'LED Panel Display', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis']",11,Voltas,1.5,Ton,5.0,1,1,0,0,0,0,,,,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Daikin FTKL50XV16VAA 1.5 Ton 3 Star 2026 Inverter Split AC,37990,4.3,AC,"['Split AC', '1.5 Ton Capacity', 'Triple Display Panel Display', '4-Way Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Sleep Mode', 'Dust Filter', 'PM 2.5 Filter', 'Self Diagnosis']",11,Daikin,1.5,Ton,3.0,1,1,0,0,0,0,2026,1,0,1,0,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Panasonic CS/CU-EU18CKY3F 1.5 Ton 3 Star 2026 Inverter Split AC,37990,4.75,AC,"['Split AC', '1.5 Ton Capacity', '4-Way Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis', '3 Star Rating']",10,Panasonic,1.5,Ton,3.0,1,1,0,0,0,0,2026,1,0,1,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Samsung AR50F19D15H 1.5 Ton 5 Star 2025 Inverter Split AC,36490,4.35,AC,"['Split AC', '1.5 Ton Capacity', 'LED Panel Display', '4-Way Air Swing', 'Auto Restart', 'Wi-Fi Connectivity', 'APP Control', 'Voice Control', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter']",13,Samsung,1.5,Ton,5.0,1,1,1,1,1,3,2025,1,1,1,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,LG AS-Q19YNZE1 1.5 Ton 5 Star 2026 Inverter Split AC,48489,4.25,AC,"['Split AC', '1.5 Ton Capacity', '4-Way Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis', 'Night Glow Buttons']",11,LG,1.5,Ton,5.0,1,1,0,0,0,0,2026,1,0,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Blue Star IA318DXU 1.5 Ton 3 Star 2026 Inverter Split AC,35849,4.5,AC,"['Split AC', '1.5 Ton Capacity', 'LED Panel Display', '4-Way Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'PM 2.5 Filter', 'Self Diagnosis']",12,Blue Star,1.5,Ton,3.0,1,1,0,0,0,0,2026,1,0,1,0,1,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,MITSUBISHI DXK25CAPDA-W 2.15 Ton 2 Star 2026 Split AC,77009,4.45,AC,"['Split AC', '2.15 Ton Capacity', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Sleep Mode', 'Dust Filter', 'PM 2.5 Filter', 'Self Diagnosis', 'Memory Feature', 'Auto Clean']",11,MITSUBISHI,2.15,Ton,2.0,1,0,0,0,0,0,2026,1,0,1,0,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Blue Star IA518ZXUS 1.5 Ton 5 Star 2026 Inverter Split AC,47490,4.05,AC,"['Split AC', '1.5 Ton Capacity', '4-Way Air Swing', 'Auto Restart', 'Wi-Fi Connectivity', 'APP Control', 'Voice Control', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis']",13,Blue Star,1.5,Ton,5.0,1,1,1,1,1,3,2026,1,0,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Voltas 185INV Vertis Ai Zest Gold 1.5 Ton 5 Star 2026 Inverter Split AC,46790,4.55,AC,"['Split AC', '1.5 Ton Capacity', 'Digital LED Panel Display', '4-Way Air Swing', 'Auto Restart', 'Wi-Fi Connectivity', 'APP Control', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter']",12,Voltas,1.5,Ton,5.0,1,1,1,0,1,2,2026,1,0,1,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Haier HSA19KHD-GAI5NB-I 1.6 Ton 5 Star 2026 Inverter Split AC,48990,4.1,AC,"['Split AC', '1.6 Ton Capacity', 'LED Panel Display', '4-Way Air Swing', 'Auto Restart', 'Wi-Fi Connectivity', 'APP Control', 'Voice Control', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter']",13,Haier,1.6,Ton,5.0,1,1,1,1,1,3,2026,1,0,1,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Daikin FTKP50XV16VKA 1.5 Ton 4 Star 2026 Inverter Split AC,40990,4.55,AC,"['Split AC', '1.5 Ton Capacity', 'Triple Display Panel Display', '4-Way Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Sleep Mode', 'Dust Filter', 'PM 2.5 Filter', 'Self Diagnosis']",11,Daikin,1.5,Ton,4.0,1,1,0,0,0,0,2026,1,0,1,0,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Daikin FTKL50XV16VKA 1.5 Ton 3 Star 2026 Inverter Split AC,37990,4.05,AC,"['Split AC', '1.5 Ton Capacity', 'Triple Display Panel Display', '4-Way Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Sleep Mode', 'Dust Filter', 'PM 2.5 Filter', 'Self Diagnosis']",11,Daikin,1.5,Ton,3.0,1,1,0,0,0,0,2026,1,0,1,0,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Hitachi RAS.V518PCDIBT1 1.5 Ton 5 Star 2026 Inverter Split AC,44891,4.2,AC,"['Split AC', '1.5 Ton Capacity', '3 in 1 SmartView Panel Display', '4-Way Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis']",10,Hitachi,1.5,Ton,5.0,1,1,0,0,0,0,2026,1,0,1,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Samsung AR50F12D0LH 1 Ton 3 Star 2025 Inverter Split AC,25990,4.6,AC,"['Split AC', '1 Ton Capacity', 'LED Panel Display', '4-Way Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis']",11,Samsung,1.0,Ton,3.0,1,1,0,0,0,0,2025,1,1,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Blue Star ID518GNURS 1.5 Ton 4 Star 2026 Inverter Split AC,40490,4.7,AC,"['Split AC', '1.5 Ton Capacity', 'LED Panel Display', '4-Way Air Swing', 'Auto Restart', 'Wi-Fi Connectivity', 'APP Control', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter']",12,Blue Star,1.5,Ton,4.0,1,1,1,0,1,2,2026,1,0,1,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Blue Star IA318TXU 1.5 Ton 3 Star 2026 Inverter Split AC,37990,4.4,AC,"['Split AC', '1.5 Ton Capacity', 'LED Panel Display', '4-Way Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis']",11,Blue Star,1.5,Ton,3.0,1,1,0,0,0,0,2026,1,0,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,LG AS-Q18HWXE 1.5 Ton 3 Star 2026 Inverter Split AC,37490,4.5,AC,"['Split AC', '1.5 Ton Capacity', 'Digital Panel Display', '4-Way Air Swing', 'Auto Restart', 'Wi-Fi Connectivity', 'APP Control', 'Voice Control', 'Dehumidification', 'Inverter', 'Sleep Mode', 'Dust Filter']",12,LG,1.5,Ton,3.0,1,1,1,1,1,3,2026,1,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Daikin MTKU42UV16U 1.2 Ton 5 Star 2025 Inverter Split AC,35490,4.45,AC,"['Split AC', '1.2 Ton Capacity', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Sleep Mode', 'Dust Filter', 'PM 2.5 Filter', 'Self Diagnosis', 'Auto Clean']",11,Daikin,1.2,Ton,5.0,1,1,0,0,0,0,2025,1,1,1,0,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Voltas 185INV Vectra Emerald 1.5 Ton 5 Star 2026 Inverter Split AC,44800,4.15,AC,"['Split AC', '1.5 Ton Capacity', 'Hidden Panel Display', '2-Way Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Memory Feature']",11,Voltas,1.5,Ton,5.0,1,1,0,0,0,0,2026,1,0,1,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Blue Star IA518VXUS 1.5 Ton 5 Star 2026 Inverter Split AC,47190,4.2,AC,"['Split AC', '1.5 Ton Capacity', 'LED Panel Display', '4-Way Air Swing', 'Auto Restart', 'Wi-Fi Connectivity', 'APP Control', 'Voice Control', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter']",13,Blue Star,1.5,Ton,5.0,1,1,1,1,1,3,2026,1,0,1,0,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Daikin FTKM50XV16 1.5 Ton 5 Star Inverter Split AC,50990,4.2,AC,"['Split AC', '1.5 Ton Capacity', 'LED Panel Display', '4-Way Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Sleep Mode', 'Dust Filter', 'PM 2.5 Filter', 'Self Diagnosis']",11,Daikin,1.5,Ton,5.0,1,1,0,0,0,0,,,,1,0,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Lloyd GLS18I3AGGSC 1.5 Ton 3 Star 2026 Inverter Split AC,33489,4.25,AC,"['Split AC', '1.5 Ton Capacity', '4-Way Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis', 'Auto Clean']",11,Lloyd,1.5,Ton,3.0,1,1,0,0,0,0,2026,1,0,1,0,0,0,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,MITSUBISHI RAM-AE22VG 1.8 Ton 2 Star Split AC,47829,4.25,AC,"['Split AC', '1.8 Ton Capacity', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Sleep Mode', 'Dust Filter', 'PM 2.5 Filter', 'Self Diagnosis', '2 Star Rating']",10,MITSUBISHI,1.8,Ton,2.0,1,0,0,0,0,0,,,,1,0,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Onida IR195GLC 1.5 Ton 5 Star Inverter Split AC,32990,4.6,AC,"['Split AC', '1.5 Ton Capacity', '4-Way Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', '5 Star Rating', '100% Grooved Copper Condenser Coil']",11,Onida,1.5,Ton,5.0,1,1,0,0,0,0,,,,1,0,0,0,0,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,MITSUBISHI DXK18YAMDA-W 1.5 Ton 3 Star 2026 Inverter Split AC,59090,4.0,AC,"['Split AC', '1.5 Ton Capacity', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Sleep Mode', 'Dust Filter', 'PM 2.5 Filter', 'Self Diagnosis', 'Memory Feature', 'Auto Clean']",12,MITSUBISHI,1.5,Ton,3.0,1,1,0,0,0,0,2026,1,0,1,0,1,0,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Blue Star IA318MXU 1.5 Ton 3 Star 2026 Inverter Split AC,39990,4.5,AC,"['Split AC', '1.5 Ton Capacity', 'Hidden Panel Display', '4-Way Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'HEPA Filter', 'Self Diagnosis']",12,Blue Star,1.5,Ton,3.0,1,1,0,0,0,0,2026,1,0,1,0,0,1,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Panasonic CS/CU-EU18CKY5XFM 1.5 Ton 5 Star 2026 Inverter Split AC,47890,4.15,AC,"['Split AC', '1.5 Ton Capacity', 'Hidden Panel Display', '4-Way Air Swing', 'Auto Restart', 'Wi-Fi Connectivity', 'APP Control', 'Voice Control', 'Dehumidification', 'Inverter', 'Sleep Mode', 'Dust Filter']",12,Panasonic,1.5,Ton,5.0,1,1,1,1,1,3,2026,1,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,MarQ by Flipakart 103IPG25WQV2 1 Ton 3 Star 2025 Inverter Split AC,21990,4.15,AC,"['Split AC', '1 Ton Capacity', '4-Way Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis', 'Memory Feature', 'Night Glow Buttons']",12,MarQ,1.0,Ton,3.0,1,1,0,0,0,0,2025,1,1,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Hitachi Ikasu 5400FXL 1.5 Ton 5 Star 2023 Inverter Split AC,28990,4.35,AC,"['Split AC', '1.5 Ton Capacity', 'Hidden Panel Display', 'Air Swing', 'Auto Restart', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Night Glow Buttons']",10,Hitachi,1.5,Ton,5.0,1,1,0,0,0,0,2023,0,3,1,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Blue Star IA318EXU 1.5 Ton 3 Star 2026 Inverter Split AC,37190,4.1,AC,"['Split AC', '1.5 Ton Capacity', 'LED Panel Display', '4-Way Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'PM 2.5 Filter', 'Self Diagnosis']",12,Blue Star,1.5,Ton,3.0,1,1,0,0,0,0,2026,1,0,1,0,1,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,MarQ by Flipakart 105IPG26WQ 1 Ton 5 Star 2026 Inverter Split AC,27490,4.35,AC,"['Split AC', '1 Ton Capacity', 'LED Panel Display', '4-Way Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis']",11,MarQ,1.0,Ton,5.0,1,1,0,0,0,0,2026,1,0,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Panasonic CS/CU-EU18CKY3XFH 1.5 Ton 3 Star 2026 Inverter Split AC,41990,4.35,AC,"['Split AC', '1.5 Ton Capacity', 'Hidden Panel Display', '4-Way Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis']",10,Panasonic,1.5,Ton,3.0,1,1,0,0,0,0,2026,1,0,1,0,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,LG AS-Q19MNXE 1.5 Ton 3 Star 2026 Inverter Split AC,40990,4.3,AC,"['Split AC', '1.5 Ton Capacity', '4-Way Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis', 'Night Glow Buttons']",11,LG,1.5,Ton,3.0,1,1,0,0,0,0,2026,1,0,1,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Godrej HIC 18Q3TH 1.5 Ton 3 Star 2026 Inverter Split AC,31790,4.1,AC,"['Split AC', '1.5 Ton Capacity', 'Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis', 'Auto Clean']",10,Godrej,1.5,Ton,3.0,1,1,0,0,0,0,2026,1,0,1,0,0,0,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Carrier CAI18EE3R36F1 1.5 Ton 3 Star 2026 Inverter Split AC,36490,4.25,AC,"['Split AC', '1.5 Ton Capacity', 'Digital LED Panel Display', '2-Way Air Swing', 'Auto Restart', 'Dehumidification', 'Inverter', 'Sleep Mode', 'Dust Filter', 'PM 2.5 Filter', 'Self Diagnosis', 'Memory Feature']",12,Carrier,1.5,Ton,3.0,1,1,0,0,0,0,2026,1,0,1,0,1,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Blue Star WFA312LXU 1 Ton 3 Star 2026 Window AC,29990,4.35,AC,"['Window AC', '1 Ton Capacity', 'LED Panel Display', '2-Way Air Swing', 'Auto Restart', 'Dehumidification', 'Turbo Mode', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis', 'Memory Feature']",11,Blue Star,1.0,Ton,3.0,1,0,0,0,0,0,2026,1,0,0,1,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Panasonic CS/CU-SU18BKY3W 1.5 Ton 3 Star 2026 Inverter Split AC,37990,4.55,AC,"['Split AC', '1.5 Ton Capacity', 'Hidden Panel Display', '2-Way Air Swing', 'Auto Restart', 'Wi-Fi Connectivity', 'APP Control', 'Voice Control', 'Dehumidification', 'Inverter', 'Sleep Mode', 'Dust Filter']",12,Panasonic,1.5,Ton,3.0,1,1,1,1,1,3,2026,1,0,1,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
